Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""good company that lost its way""",3.0,3.0,3.0,2.0,2.0,2.0," Apr 12, 2013",Past,Senior Manager,"Sunnyvale, CA",No,Yes,Neutral,Full-time,,"great, hard working people; still a great brand despite all the setbacks of recent years. a fun place to work.",too much politics; a far cry from meritocracy. insessant reorgs upstairs undermining confidence in the company's direction and leadership among the employees.,stop reinventing the company and chasing pipe dreams...instead focus on core strengths
"""Messy and Unorganized""",2.0,3.0,1.0,2.0,3.0,1.0," Apr 9, 2013",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,More than a year,Dedicated employees who have fought through poor management decisions to stay the course,Constant rotation of Sr. Management and inconsistent compensation of good vs bad performers,Incubate own start-up like projects instead of paying out money for aquahires. It's demoralizing to those with skills and aspirations doing the necessary work to keep the company afloat.
"""Good workplace, positive attitude and still growing""",4.0,4.0,5.0,4.0,2.0,4.0," Mar 20, 2013",Current,Software Developer,"Sunnyvale, CA",Yes,Yes,Yes,,More than a year,"Excellent work culture, work friendly environment, good career opportunities and very good learning curve.",Monetary compensation and yearly bonuses. Yet to make that one striking product that will revolutionize silicon valley and make yahoo stand out.,
"""Learned a lot during my time there""",4.0,4.0,4.0,3.0,4.0,2.0," Mar 21, 2013",Past,Technical Yahoo,"Sunnyvale, CA",Yes,Yes,Neutral,Full-time,More than 3 years,Great people. Large scale engineering.,Middle mgmt was weak. Lots of tech debt and too many teams caused friction and lack of innovation,"Tech Debt is bringing down engineering at Y!. Phase out ""old"" systems that the original authors aren't willing to support. Move to Open Source solutions and contribute back. This will allow you to find engineers motivated to work for Y!."
"""Marissa's getting rid of a lot of disfunction""",4.0,4.0,3.0,4.0,4.0,4.0," Mar 16, 2013",Current,Senior Software Engineer,"San Francisco, CA",Yes,Yes,Yes,Full-time,More than 3 years,Things were kind of stagnant under Bartz and Thompson. Marissa Meyer has really stepped up to make life better for the employees and get rid of soul-crushing disfunction. There's a lot more transparency and feedback mechanisms now.<br><br>Internal training.<br><br>Can work on well recognized consumer brands.,It's still a large company. Even though Marissa's made a lot of changes there's still some work to be done.<br><br>Shuttle schedules don't have a ton of options.,
"""Good, fast paced company, informal work culture""",4.0,3.0,4.0,4.0,3.0,4.0," Mar 21, 2013",Past,Senior QA Engineer,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than 5 years,"Opportunity to learn, fast paced, diversified in technical skills. And now with Marissa Mayer there is free food and drinks too :)","Disorganized, too many projects with an unsure goal and market strategy.","Be the best at what you are good at and dont take too many things at one time , just because everyone thinks it might earn revenue. Because , in high probabilty such ventures go unmanaged and lead to dead end down the line , ie wasted $$$$$."
"""Rewarding experience, don't be afraid to voice your opinions, the culture has changed for the better.""",4.0,3.0,4.0,4.0,4.0,4.0," Mar 11, 2013",Past,Account Executive,"Burbank, CA",Yes,Yes,Yes,Full-time,More than 5 years,"People, people, people. Getting to work with some of the best and brightest in the internet. Access to early stage launches, challenging yet fun work environment. What other job can you work on something that millions of people touch everyday?!?!?!","People holding on to what was, forget about what was and make your tomorrow even better. Rigid mid level management. Getting hired there is extremely difficult as HR and recruiters aren't on the same page. For job seekers, build a plan and work it everyday, go straight to the recruiters themselves, the company does a measly 3% of their hiring through the careers site itself. Many if not all jobs already have a candidate in mind.","Continue the forward momentum, execution, make the hard decisions, hold people accountable and celebrate successes. Identify those that want to win, train them, and get out of their way."
"""Grat company, great perks, great engineers.""",5.0,4.0,5.0,5.0,4.0,4.0," Mar 10, 2013",Current,Software Engineer,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,Less than a year,"New execs are trying to interact more and give more feedback.<br>Hiring talent is a priority.<br>There is a great energy in the campus.<br>Focusing a lot in mobile.<br>Amazing challenges, be prepared to tackle problems you've never seen before.","As the goals and objectives are in transition, some products tend to realign their direction constantly. This might be considered a challenge as well, it depends on the perspective.",Just keep the hard work.
"""Great working environment with some politics""",4.0,4.0,4.0,3.0,3.0,2.0," Mar 11, 2013",Past,Finance,"Sunnyvale, CA",Yes,Yes,Neutral,Full-time,More than 8 years,Extremely friendly working environment for the most part.<br>Previously had the ability to work from home.,Low compensation for such a large company in the forefront of the web.<br>No longer able to work from home.,Better compensation and recognition for valued employees.
"""A culture place to work""",3.0,3.0,5.0,2.0,3.0,3.0," Mar 27, 2013",Current,Senior Software Engineer,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,More than 3 years,"This company celebrates a variety of cultures and holidays, with invited music bands and employee-hosted parties. Nice benefit. Free food. Free smart phone.","Without proper career growth in sight, people choose to leave for new opportunities. Turnover rate is high.","Managers need to care more about employees, rather than their own."
"""Outstanding""",5.0,3.0,5.0,5.0,4.0,4.0," Mar 7, 2013",Current,Senior Software Engineer,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than 3 years,The culture is something many other companies could learn from!,I don't have really nothing to say here.,Maybe a stronger performance review process...
"""Great people, focus on status quo""",4.0,4.0,3.0,4.0,4.0,2.0," Mar 11, 2013",Past,Strategy,"Burbank, CA",Yes,Yes,Yes,Full-time,More than 3 years,"fun times, good people, expenses","No excitement, no growth, no innovation.",Good job getting Marissa Mayer in
"""The good, the bad and the ugly""",3.0,4.0,3.0,4.0,4.0,3.0," Mar 19, 2013",Past,Business Operations Manager,"Sunnyvale, CA",No,Neutral,Neutral,Full-time,More than 3 years,"Yahoo was a fun place to work provided you landed in the right business unit. HQ is a beautiful campus with free coffee drinks (often barristas will commit your favorite beverage to memory and start your drink order while you are waiting in line). Many onsite amentieis include subsidized cafeteria food, dry cleaning, oil service, fitness classes, hair cuts, dental visits and of course educational training.","Unfortunatley, Yahoo was one of the most complicated, politically matrixed organizations you can imagine. There was lots of politicking and in-fighting between business units with many embittered longtime territorial veterans. Be ready for turf wars!",Employees are smarther than you may think. Work @ home was one of the few remaining incentives to work at Yahoo. Marissa made a big mistake by rescinding this perk. The employee hemorrahge will continue.
"""Yahoo!""",4.0,5.0,3.0,4.0,4.0,4.0," Mar 7, 2013",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than 5 years,great people and improving culture,still too much process and takes too long to get products launched,
"""No job security. Revolving door of management.""",2.0,3.0,3.0,4.0,4.0,1.0," Mar 15, 2013",Past,Property Sales Development,"San Francisco, CA",No,Neutral,Neutral,Full-time,More than 5 years,The people are great (below senior managers),"Senior Management, no loyalty. Zero stability.",Show some loyalty to the people who work for you. Get your act together and stop laying people off and devastating your staff.
"""First full time job after college""",3.0,4.0,3.0,3.0,3.0,2.0," Mar 19, 2013",Current,Visual Designer,"Sunnyvale, CA",No,Neutral,Neutral,Full-time,More than a year,get to work on various projects,Projects get cancelled or ship very slowly...,
"""Good Company but not enough compensation""",3.0,3.0,4.0,4.0,2.0,2.0," Mar 13, 2013",Current,Service Engineer,"Sunnyvale, CA",Yes,Neutral,Yes,Full-time,More than 3 years,Know smart people and learn a lot from the software and technology industry,Pay is not as good as other technologies companies. Still not doing very well but it seems Yahoo es getting better with it new CEO Marissa.<br>I hope this changes in less than a year or people will start to leave,
"""Do a Little Bit of Work that will Never See the Light of Day""",2.0,5.0,2.0,3.0,3.0,1.0," Mar 9, 2013",Past,Principal Software Engineer,"Sunnyvale, CA",No,Neutral,Neutral,Full-time,More than a year,Relaxed environment. No major responsibility. Most projects never get released so you'll never be on call for things. Free coffee.,"If you like getting stuff done, this is not the place for you. Crap cafeteria food and too far from reasonable restaurants. Location is just a sad place to go to every day.",Go private. The company is dead.
"""Was great back in the day... but worried for staff now.""",2.0,3.0,4.0,2.0,4.0,3.0," Mar 7, 2013",Past,Anonymous Employee,"Burbank, CA",No,Yes,Neutral,Full-time,More than 3 years,Great benefits and perks for employees.,Enormous company with a lot of excess red tape.,Do more with less.
"""Company In Transition""",3.0,3.0,3.0,3.0,3.0,3.0," Mar 6, 2013",Past,Sales Ops,"Sunnyvale, CA",Yes,Yes,Neutral,Full-time,More than 3 years,Lots of excellent people there,Need stability in senior mgmt,Curb the change
"""Join the spiral around the drain""",1.0,3.0,2.0,2.0,3.0,1.0," Mar 26, 2013",Current,Production Engineer,"Sunnyvale, CA",No,No,Neutral,Full-time,More than a year,They have free food and snacks. The yahoo brand name still carries a lot of weight and their sites gets lots of eyeballs. You get to work with some really smart people.,The management has been very weak for a long time so people are used to being unsupervised and going in their own direction.,Get out of the computer business.
"""Small Business Bad Business""",1.0,,,,,," Mar 25, 2013",Past,Anonymous Employee,,No,No,Neutral,Full-time,More than 3 years,"Initially, there were opportunities for growth in the Small Business Unit ....",Was laid off after Yahoo failed to enter into an advantageous business relationship with Microsoft. Our entire class was hired in September 2009 and laid off three months later in December 2009.,Manage projections wisely.
"""Good benefits, but way too much incompetent managers that stand in the way of innovation""",3.0,3.0,3.0,3.0,4.0,2.0," Feb 28, 2013",Past,Principal Software Engineer,"Santa Clara, CA",No,Neutral,Neutral,Full-time,More than 3 years,"* Top notch benefits<br>* Free hand-made, Starbucks-like coffee (and now even full food, I hear)<br>* Fun events for employees and family<br>* Well known brand",* Way too many (~7) levels of management<br>* Incompetent managers that are clueless about what their job really is<br>* Agile software development limited to isolated pockets<br>* Waterfall process causing constant fire drills<br>* Extreme turnover and low morale,Get rid of at least 75% of the (especially lower and middle) management and try to keep those few managers that know what they're supposed to do and how to do it.
"""Great people work there""",4.0,,,,,," Feb 13, 2013",Current,Anonymous Employee,"Sunnyvale, CA",Yes,Yes,Neutral,Full-time,More than 3 years,"Considering all the turmoil that Y! has been goring through in the last years, there are still very smart people working there. It is a very collaborative environment where things can get done quickly without much bureaucracy. The push to mobile first is the right direction and we work on the latest trends, and mobile customer needs",Lots of re-orgs and turn over (getting better)<br>Salaries should be more competitive (hopefully Marissa will fix this),Keep hiring good talent and staying focus on the most important Y! properties.
"""lost goal""",3.0,4.0,4.0,3.0,3.0,3.0," Feb 22, 2013",Past,Technical Yahoo,"Sunnyvale, CA",No,Neutral,Neutral,Full-time,More than 3 years,"You job will be recognized by million people. Good culture, nice working environment.","Many project did not work out finally, many efforts are wasted.",try to be innovate and creative.
"""Up and downs, too many product managers""",4.0,4.0,3.0,4.0,5.0,3.0," Feb 1, 2013",Current,Senior Product Manager,"Sunnyvale, CA",Neutral,Neutral,Yes,Full-time,More than a year,Massive traffic and influence on peoples lives,"Too many product managers, too much politics",
"""Great experience""",4.0,3.0,5.0,4.0,5.0,3.0," Jan 31, 2013",Past,Anonymous Employee,"Santa Monica, CA",Yes,Yes,Neutral,Full-time,More than a year,"Worked with really creative people, energetic company and atmosphere. I learned a lot and got great experience working with a variety of clients. This was my second job out of college (undergraduate), and it was great to have on my resume and gain the experience.",Not a lot of promotional positions available in my area. Didn't have much work/life balance in my role.,Provide clear path for growth opportunities.
"""Yahoo! is a great place to work""",5.0,4.0,4.0,4.0,4.0,4.0," Jan 28, 2013",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Now - direction is clearer, employees including management are held accountable.",Previous years - lack of decision makers; slow to react.,Please follow through with new plan of action and hold individuals accountable. Please act quickly.
"""Graphic Designer""",4.0,5.0,5.0,5.0,4.0,3.0," Jan 22, 2013",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,More than 3 years,"Great people, decent pay, casual work environment, great opportunities, I loved working there.",not really room to grow,
"""Not What It Used To Be!""",3.0,4.0,3.0,3.0,3.0,3.0," Feb 7, 2013",Past,Senior Customer Support Representative,"New York, NY",No,No,Neutral,Full-time,More than 5 years,"Open work environment, good benefits, great people to work with, access to perks if you're in Sunnyvale","If you're in one of the satellite offices (non-Sunnyvale), you're basically just an appendage, not really remembered until something is truly damaged. Career pathing works for some teams, but not all. Management is not always aware of a problem until the problem is going nuclear, despite repeated attempts by employees to address issues with systems, other employees. Other managers micromanage, which hinders progress, other don't manage at all, and are content to spend their days in their cubicles talking with favored coworkers.",Step up to the plate and BE MANAGERS!
"""blah""",2.0,3.0,2.0,3.0,3.0,1.0," Feb 9, 2013",Past,Anonymous Employee,,No,No,Neutral,Full-time,More than 3 years,good people trying to make changes (below the silly executive team),poor board<br>poor senior leadership<br>lack of agreement and vision<br>married to 1999 and the past of email and portal,play a game you can win and not a game that you want to win but have no chance of winning
"""Best Company I've ever worked for""",5.0,5.0,5.0,5.0,4.0,5.0," Jan 23, 2013",Current,Media Delivery Coordinator,"Hillsboro, OR",Yes,Yes,Yes,Full-time,More than a year,"Amazing People, Great Perks, and Encouraging Environment",This isn't really a con but you do have to find your own way,I think more career training would be good to keep people in their positions longer
"""Solution looking for a problem""",1.0,3.0,1.0,3.0,3.0,2.0," Feb 27, 2013",Current,Anonymous Employee,,No,No,Neutral,Full-time,More than a year,The Technical staff is fantastic,Watch out for the CEO,
"""It was not a good experience at all""",1.0,2.0,3.0,1.0,3.0,1.0," Feb 23, 2013",Past,Anonymous Employee,,No,No,Neutral,Full-time,More than a year,Compensation is OK. Good free coffee. I,Nobody knows what is going to happen next day. Products are not good. You do not feel proud while working at Yahoo!,Please Sell this company
"""Great place to work""",4.0,4.0,5.0,5.0,4.0,3.0," Jan 18, 2013",Past,Associate Account Manager,"Omaha, NE",Yes,Yes,Yes,Full-time,More than a year,"You work with great people, office culture was very casual and fun. Overall, it's an amazing company to work for.",Systems and processes are terribly slow and often down. Need better management - it's hard to respect a manager who does not know what you do day-to-day.,
"""Great place to work""",3.0,3.0,3.0,3.0,3.0,3.0," Feb 3, 2013",Past,Anonymous Employee,,No,No,Neutral,Full-time,More than 3 years,Good workers and great career path,Some lack of innovation from management,
"""Amazing""",5.0,,,,,," Jan 18, 2013",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than 5 years,"Good work, nice work culture and awesome perks",It has been a good experience,
"""Some great people in the trenches, less so with VPs and above""",2.0,3.0,2.0,1.0,2.0,1.0," Jan 31, 2013",Past,Director,"Sunnyvale, CA",No,Neutral,Neutral,,More than 5 years,"I've met some of the best people at Yahoo!, many very dedicated , smart, and just good people to be around.","When I was there, it was unfortunately a very silo'd top-heavy organization that had zero / little accountability. There were lots of political fights amongst different teams due to the matrix organizational structure. I would a vast majority of projects that required cross-team collaboration either failed or was diluted so bad in the end, the resulting product/service ultimately failed the end user.",Get rid of the matrix organization that causes political wrangling. It kills innovation and drive good people out.
"""Great Place to Work""",4.0,4.0,5.0,4.0,3.0,3.0," Jan 9, 2013",Current,"Senior Manager, Advertiser Soltuions","San Francisco, CA",Yes,Yes,Yes,Full-time,More than 5 years,"Smart People, lots of passion. Great benefits.","Corporate Issues, Upper Management Turnover,",Continue to invest in product improvements
"""An opportunity full or promise that fell very short""",2.0,3.0,2.0,2.0,3.0,1.0," Jan 23, 2013",Past,Anonymous Employee,,No,Neutral,Yes,Full-time,More than 3 years,"A lot of new people brought in to help save a sinking ship. Very positive vibe, but a ""feeling"" can only carry you so long.","Too many people leading teams who had no business leading, or this was one of the few places they worked so they had no concept of the real world",
"""Good place to work, getting better now.""",4.0,3.0,4.0,3.0,4.0,4.0," Jan 2, 2013",Current,Senior Software Engineer,"Sunnyvale, CA",Yes,Yes,Neutral,Full-time,More than 3 years,"Good salaries, good food, good benefits, onsite gym, good work life balance, good technologies to learn and work with. Food is free now.","Lot of people were leaving when I left. To many changes. Be ready to work in different teams and different projects all the time, priorities change very often.",
"""Things are a lot better since Marissa came onboard. Definitely one of the best places to work at so far.""",5.0,4.0,4.0,5.0,5.0,4.0," Jan 2, 2013",Current,Principal Software Engineer,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than 5 years,Free food<br>Free phone<br>Up to date hardware<br>New focus on cutting edge<br>Work hard play hard,Expected indirectly to check email / be ready for an emergency at any time of the day/week,
"""It's getting better!""",5.0,5.0,5.0,5.0,5.0,3.0," Dec 21, 2012",Current,Service Engineer,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than 5 years,"After 5 CEO's as in as many years, the outlook here at Yahoo! is looking much brighter since Marissa has come onboard.",Free food? Free iphones? Free Macs? There isn't a CON I think of. Other than I wished these changes happened sooner (Marissa) before we lost so much good talent.,
"""Underrated place to work""",5.0,4.0,5.0,5.0,5.0,3.0," Dec 22, 2012",Current,Anonymous Employee,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than 10 years,"Finally, a product-oriented CEO who gets it!<br>Huge opportunity for impact.<br>Good work/life balance.<br>Renewed management transparency.",SVPs and VPs could be stronger.<br>Prior issues with accountability<br>Lack of conviction/patience on new products.<br>Silicon Valley journalists love to make the company look bad.,"Continue raising the talent bar, and stay out of the way."
"""Lots of resources, little focus. The People Magazine of Online Media""",3.0,4.0,1.0,1.0,3.0,3.0," Jan 7, 2013",Past,Senior Director,"Sunnyvale, CA",No,Neutral,Yes,Full-time,More than 3 years,"Yahoo makes a lot of money in Internet media. Great brand, global presence","The company has no focus and is not a product, technology driven company. Brand experts say the biggest problem with Yahoo is that you can't describe it in 5 or 10 words, let alone any single one word or concept, (like Search, Social Network, Online Auctions, etc..) Therefore the Brand and the expectations related to it, are all over the place. No compelling vision, all things to everyone therefore nothing great to anyone. Behavioral Targeting and data-driven personalization technologies were the most interesting area at Yahoo. The rest of the media properties are average at best.","Find a focus, ANY focus and a story to tell investors."
"""Amazing place and right time to join!!""",5.0,5.0,4.0,5.0,5.0,," Dec 25, 2012",Current,Software Developer,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,Less than a year,"Perks, Work Life Balance and a Uber cool CEO",Not noticed any so far. Probably havent been here long enough,No advice as of now!! Awesome job with Flickr!
"""great comapny""",5.0,4.0,5.0,5.0,5.0,5.0," Dec 16, 2012",Current,Senior Software Engineer,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than 3 years,threats its developers as rock stars,middle management... as mostly everywhere.,
"""Used to be where greatness goes to die; but maybe Marissa Mayer can change that.""",2.0,3.0,2.0,3.0,5.0,2.0," Jan 1, 2013",Past,Senior Software Engineer,"Santa Clara, CA",No,Yes,Yes,Full-time,More than 3 years,Yahoo properties are visited by hundreds of millions of people every day. Compensation is good. Freebies abound.,"Yahoo lost almost all of its A players, thanks to managerial incompetence and territorialism. This eventually infected every part of the company. Winning ideas did not just fail to thrive, they were actively hunted down and killed. Marissa Mayer may be changing all that - finally.","I have no advice other than what Marissa Mayer is doing already. Yahoo needed someone to make tough choices, update the culture and technology, and focus on products again, and that's what she's doing."
"""Great in the beginning then downhill...""",4.0,5.0,4.0,4.0,4.0,3.0," Dec 12, 2012",Past,Senior Account Executive,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,,Great environment to work in. Main campus was extremely comfortable. Great flexibility and work-life balance.,"The people used to be the reason to work there. Smart, engaged, excited and passionate. Then everyone got lazy and morale was low...probably around the time Jerry &amp; Dave decided not to sell to MSFT.",
"""Lots of smart people, friendly people, good work/life balance, but too many middle managers""",4.0,4.0,4.0,4.0,4.0,4.0," Dec 1, 2012",Current,Senior Business Analyst,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than a year,"My group is awesome: friendly people, very supportive managers, great work/life balance and fun place to work, great perks (free food, free smart phones &amp; laptop of your choice)","Too many middle managers who unnecessary complicate and slow down the projects, regular lay-offs which demoralize employees",The current management is moving in the right direction. Keep it up!
"""Bastards laid me off, but I still love them""",5.0,5.0,5.0,5.0,5.0,2.0," Nov 29, 2012",Past,Senior Manager In Operations,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,More than 3 years,Nice people. Good work environment,What the hell is up with their leadership? The revolving door holds no optimistic outlook for me. They let good people go just to cut costs. Not good.,"Focus. Become Tech company again. Focus on making the technology that can compete and overtake the googles, twitters and facebooks of the world."
"""Great company, lots of incredibly smart people""",4.0,4.0,3.0,5.0,4.0,3.0," Nov 28, 2012",Past,St Analyst,"Burbank, CA",Yes,Yes,Yes,Full-time,More than a year,Great industry vantage point and many large scale projects to work on,Several management changes and mid-level employee jockeying,Clear out midlevel and focus on building great products
"""Still trying find its way""",3.0,3.0,4.0,3.0,2.0,3.0," Dec 7, 2012",Current,Product Manager,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,More than a year,It is a great place to work with strong culture irrespective of the location one works in. The people are pretty smart and easy to work with.,The management direction until the now has not been that great. It remains to be seen what will happen with the new CEO at the helm. Many projects get canned after a lot of investment which is a loss both to the company and its people,Transparent communication and clear strategy/goals is required to move the company forward.
"""Lots of ups and downs""",4.0,5.0,5.0,4.0,3.0,4.0," Nov 16, 2012",Current,Software Engineer,"Sunnyvale, CA",Yes,Neutral,Yes,Full-time,More than 5 years,"Great new management, lots of accountability and things moving. People starting to feel excited to work on things and seeing new products released real fast.",Still buckling under the dead weight carried over for the past 4-5 years. But management is doing everything it can to fix that.,Do not affect the work/life balance that the company had maintained so far and creating a cut-throat environment.
"""Flexible hours but big turnover""",4.0,5.0,4.0,5.0,5.0,3.0," Nov 19, 2012",Past,Senior Engineer Manager,"Burbank, CA",Yes,Yes,Yes,Full-time,More than 5 years,"Flexible hours, could often work from home, generous benefits.","Big turnoer every year, low morals, hard to get promotions.",
"""Financial analyst""",5.0,4.0,5.0,4.0,5.0,4.0," Nov 14, 2012",Past,Financial Analyst,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,,unbelievable people- loved it over there because of my coworkers.,"we would get beat up in the media, but on the inside, we were a family.",Listen to those in the trenches
"""Massive scale, great culture, smart people but too much red tape which makes it impossible to move fast.""",4.0,5.0,5.0,3.0,5.0,1.0," Nov 10, 2012",Past,Principal Software Engineer,"Sunnyvale, CA",Yes,Yes,Neutral,Full-time,More than 3 years,"Great learning environment.<br>Opportunities to work on products at a scale that most other companies do not have.<br>Great work/life balance.<br>Above average pay package, great benefits ( 401k matchingg )","Promotion and hiring inside Yahoo! is now more or less a question of knowing someone, not of being the best at your field. Hopefully, Marissa will address this.<br>Most work is maintenance while developers and engineers wait for the next round of management changes, starting something new is guaranteed to being shut down as soon as the next reorg happens.<br>Politicking, backstabbing, no directorial and above direction, constant goalpost changing, cronyism.",
"""No complaints...""",4.0,5.0,5.0,5.0,4.0,3.0," Nov 11, 2012",Past,Lead Software Engineer,"Sunnyvale, CA",Yes,Yes,Neutral,Full-time,More than 5 years,Good people to work with. Scale if you are an engineer. Huge learning experience.,Stock not moving up. Direction not clear.,Board change?
"""Great place to learn and get rewarded for results""",5.0,4.0,4.0,5.0,5.0,4.0," Nov 3, 2012",Current,Principal Architect,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than a year,Great place to learn: companies with this kind of scale can be counted on one hand.<br>High-performers are rewarded extremely well for the results they produce.<br>Marissa is changing the culture is so many positive ways.,"The mistakes of the past are still being paid for. (That being said, Marissa is doing all the right things to fix that.)","The recent changes are in the right direction, and the rapid pace of change is good to see. Keep it up!"
"""Decent""",4.0,2.0,5.0,3.0,4.0,4.0," Oct 21, 2012",Current,Software Engineer,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,Less than a year,- Good place to work<br>- Free food!<br>- Free phones<br>- Great learning experience,"- Difficult to break the mould and do what you want always<br>- Its still evolving from the recent layoffs. Eventually, I hope it comes up stronger.",
"""Overall good company, good benefits, room for improvement.""",3.0,4.0,4.0,3.0,4.0,3.0," Nov 6, 2012",Current,Anonymous Employee,"New York, NY",Yes,Yes,Yes,Full-time,More than a year,"Being part of such a large scale, global company -- with such well-known media properties -- is rewarding and great experience to have.","Still a lot of bureaucracy to deal with, and some cross-departmental challenges.",
"""They have fallen ... and they can't get up.""",3.0,3.0,2.0,3.0,4.0,1.0," Oct 15, 2012",Past,Manager,"Sunnyvale, CA",No,Neutral,Neutral,Full-time,More than 8 years,"Free coffee, above average salaries. Sunnyvale office has great amenities, from gym to (now) free food at URLs.","Politicking, backstabbing, no directorial and above direction, constant goalpost changing, cronyism.<br><br>Promotion and hiring inside Yahoo! is now more or less a question of knowing someone, not of being the best at your field. Most work is maintenance while developers and engineers wait for the next round of management changes, starting something new is guaranteed to being shut down as soon as the next reorg happens.","Stop hiring your buddies to quickly bleed the company and start hiring qualified managers, directors, and above. Quit re-orging every three months, with so little time until everything changes again no one wants to start something new. Cut costs by not hiring your buddies into VP positions instead of cutting money for technology and infrastructure."
"""Everyone gets laid off eventually at Yahoo!""",4.0,5.0,5.0,4.0,5.0,2.0," Sep 30, 2012",Past,Manager,"Burbank, CA",Yes,Yes,Neutral,Full-time,More than 3 years,Great working environment. Good Perks. Awesome Salary.,"Rotating upper Management (CEO), they don't know what they want to be. New management always lays off 3000 people no matter who they are.",
"""What a mess! Can you say YA-WHAT???""",3.0,4.0,2.0,3.0,4.0,2.0," Oct 14, 2012",Past,Talent Management Professionsl,"Sunnyvale, CA",No,Neutral,Neutral,Full-time,More than a year,Great working environment in terms of comfort and perks. Most people are friendly and work diligently.,"No direction and culture is undefined. Turnover is ridiculously high especially at the top. How can you expect employees to be focused when the company has no direction. Management in the department where I worked led through intimidation, dishonesty and fear.","Keep an open mind when hiring. Marissa is saying degree only - would she not hire a Bill Gates or Steve Jobs? This practice is discriminatory and she should be very careful with this practice. Must lead, not demand and intimidate."
"""Invaluable experiences for young employees""",4.0,5.0,4.0,4.0,5.0,3.0," Oct 4, 2012",Past,Senior Software Engineer,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,More than 3 years,Great learning environment.<br>Opportunities to work on products at a scale that most other companies do not have.<br>Great work/life balance.,Politics of a large company means it takes a long time to get things done.,
"""Love working here.""",4.0,4.0,4.0,4.0,4.0,3.0," Oct 4, 2012",Current,Senior Program Manager,"Santa Monica, CA",Yes,Yes,Yes,Full-time,More than a year,Love the culture and the people who works here.,Kept changing CEOs so there is a lot of changes.,
"""long-time employee""",4.0,5.0,2.0,4.0,4.0,2.0," Oct 3, 2012",Current,Director,"Sunnyvale, CA",Yes,Neutral,Yes,Full-time,More than 5 years,"family friendly, recognized and respected brand name for users and as an employer, lots of opportunity","big boat that is trying to turn around, nice culture is a detriment, still a lot of fat","decide on a strategy and STICK with it. communicate openly and broadly, and not just downward. empower the ranks who know what is going on, instead of hoarding the plans at the VP level"
"""Employee friendly company""",5.0,3.0,5.0,5.0,4.0,1.0," Sep 29, 2012",Past,Technical Yahoo,"Burbank, CA",Yes,No,Neutral,Full-time,More than 3 years,"good culture, people are good. company is good.","management is poor, disjoint. and burbank is not place to be in",find better fit people in management
"""Great company, bad compensation""",4.0,4.0,5.0,4.0,3.0,4.0," Sep 28, 2012",Past,Software Engineer,"Sunnyvale, CA",Yes,Neutral,Yes,Full-time,More than a year,"Good culture, good opportunity for growth.","Bad mgmt, not so great compensation",Increase the compensation to retain talent
"""Work harder and get recognized""",4.0,4.0,4.0,3.0,4.0,3.0," Sep 26, 2012",Current,Technical Yahoo,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than 3 years,"There are not many other company where you can experience scale this big. Everything you touch is global and has instant influence toward the world.<br>Perks &amp; benefits are attractive, including recently started food.","Despite recent effort from the company, some good talents left looking for more exciting start ups or competitors.<br>Initial starting position often determines how far you can go in terms of salary if you stay as individual contributor.",More transparency will encourage employees
"""Good company""",4.0,4.0,3.0,4.0,5.0,1.0," Sep 24, 2012",Current,Account Executive,"Omaha, NE",Yes,Neutral,Yes,Full-time,More than 3 years,Competitive pay and great benefits,lots of bureaucracy and sometimes difficult to get things done,
"""Advertising solutions is stuck in 1999""",2.0,3.0,4.0,3.0,2.0,1.0," Oct 7, 2012",Past,Advertising Solutions,"Sunnyvale, CA",No,Neutral,Neutral,Full-time,More than 8 years,"Yahoo has everything it needs, audience, smart talent, brand recognition",Yahoo cannot monetize it's visitors because the advertising solutions have failed to innovate. The failure is because of the managements lack of direction which is taken advantage of by sales force by manipulating the middle management in the engineering groups.,Cleanup sales and Advertising Solutions middle management.
