Title,date
"<p>-- <a href=""http://www.gelesis.com/"">Gelesis</a> (Boston, MA), mechanotherapeutics to treat chronic diseases: <a href=""http://www.finsmes.com/2018/03/gelesis-raises-30m-in-financing.html"">$30M</a> from undisclosed sources.</p>",2018-03-01
"<p>-- <a href=""http://www.convertpharma.com/"">Convert</a> (Liége, Belgium), tumor-microenvironment modulated prodrugs: <a href=""http://www.finsmes.com/2018/02/convert-pharmaceuticals-receives-e13-6m-in-funding.html"">$16.5M</a> from Droia Oncology, Meusinvest, Spinventure, European Eurostars, et al.</p>",2018-03-01
"<p>-- <a href=""http://www.cullgen.com/"">Cullgen</a> (US), ubiquitin-mediated protein degradation: <a href=""http://www.finsmes.com/2018/03/cullgen-raises-up-to-15m-series-seed-financing.html"">$15M</a> Seed led by GNI Group.</p>",2018-03-01
"<p>-- <a href=""https://nomadhealth.com/"">Nomad</a> (New York, NY), marketplace for healthcare jobs: <a href=""http://www.finsmes.com/2018/02/nomad-health-raises-12m-in-series-b-financing.html"">$12M</a> B led by Polaris Partners, participation from First Round, RRE, .406. Founder <a href=""https://www.linkedin.com/in/kevinryan3/"">Kevin Ryan</a> is a serial entrepreneur, whose previous companies include MongoDB and Zola.com</p>",2018-03-01
"<p>-- <a href=""https://ekodevices.com/"">Eko</a> (San Francisco, CA), acoustic cardiac monitoring platform: <a href=""http://www.finsmes.com/2018/03/eko-closes-5m-series-a-funding.html"">$5M</a> A led by Artis Ventures, participation from Strategic Partners, Dreamlt, 1812, Founder.org.</p>",2018-03-01
"<p>-- <a href=""http://www.boostbiomes.com/"">Boost Biomes</a> (San Francisco, CA), microbiome-based products: <a href=""http://www.finsmes.com/2018/02/boost-biomes-raises-2-05m-in-seed-funding.html"">$2M</a> Seed led by Nimble Ventures, Viking Global Investors, participation from Tencent.</p>",2018-03-01
<p><strong>--Enterprise--</strong></p>,2018-03-01
"<p>-- <a href=""https://c2fo.com/"">C2FO</a> (Kansas City, MO), working capital marketplace: <a href=""http://www.finsmes.com/2018/02/c2fo-raises-100m-in-funding.html"">$100M</a> led by Allianz X, Mubadala Investment Company, participation from Temasek, Union Square, Mithril.</p>",2018-03-01
"<p>-- <a href=""https://www.industriousoffice.com/"">Industrious</a> (New York, NY), workplace and coworking platform: <a href=""http://www.finsmes.com/2018/02/industrious-raises-80m-in-series-c-funding.html"">$80M</a> C led by Riverwood Capital, Fifth Wall Ventures, participation from Alrai, Outlook, Rabina Properties, Schechter, Wells Fargo.</p>",2018-03-01
"<p>-- Hipac (Hangzhou, China), online cross-border maternity/baby products shopping platform: <a href=""https://www.chinamoneynetwork.com/2018/03/01/dealshot-sequoia-leads-50m-series-c-round-chinese-travel-guide-booking-service-platform-hi-guides"">$50M</a> C from undisclosed sources.</p>",2018-03-01
